idx,t,px,py,pz,vx,vy,vz,ax,ay,az,yaw,mode,ledr,ledg,ledb
0,0.0,-3.9087794829109716e-44,-2.474925320225728e-137,5.119325189753227e-17,-2.909630239010414e-28,-1.073279956571686e-121,-0.14147100515477073,1.939753492673608e-27,7.155199710477901e-121,-0.4341932989681957,0.0,70.0,255.0,255.0,255.0
1,0.05,-1.454815119505211e-29,-5.366399782858455e-123,-0.007073550257738486,-1.93975349267361e-28,-7.155199710477909e-122,-0.16318067010318052,2.66716105242621e-27,9.838399601907113e-121,-0.6475157860812694,0.0,70.0,255.0,255.0,255.0
2,0.1,-1.939753492673614e-29,-7.155199710477934e-123,-0.016318067010318002,-2.424691865842037e-29,-8.943999638097466e-123,-0.20622258376289768,2.9096302390104122e-27,1.073279956571685e-120,-0.8532899484522943,0.0,70.0,255.0,255.0,255.0
3,0.15000000000000002,-1.6972843060894146e-29,-6.260799746668201e-123,-0.027695808634028256,9.698767463368021e-29,3.577599855238941e-122,-0.24850966494840995,1.9397534926736183e-27,7.155199710477948e-121,-0.8381932989682097,0.0,70.0,255.0,255.0,255.0
4,0.2,-9.69876746336812e-30,-3.5775998552389924e-123,-0.041169033505159,1.697284306089415e-28,6.260799746668201e-122,-0.29004191365971865,9.495296817283522e-28,3.5025453128214125e-121,-0.8230954610334004,0.0,70.0,255.0,255.0,255.0
5,0.25,3.475481505924496e-45,4.1340776046566784e-139,-0.056700000000000125,1.9194064280651544e-28,7.080145168060354e-122,-0.33081921105175,-1.5768975071560302e-28,-5.816727037364225e-122,-0.8079907895069482,0.0,70.0,255.0,255.0,255.0
6,0.30000000000000004,9.495296817283425e-30,3.502545312821362e-123,-0.074250954610334,1.5395945553738119e-28,5.679127042931779e-122,-0.3708409926104135,-1.4129905978100394e-27,-5.212121001222295e-121,-0.7928774687003126,0.0,70.0,255.0,255.0,255.0
7,0.35000000000000003,1.5395945553738122e-29,5.679127042931779e-123,-0.09378409926104148,5.064158302551148e-29,1.8680241668380578e-122,-0.41010695792178126,-2.5512958234057968e-27,-9.411005679806924e-121,-0.7777709814853084,0.0,70.0,255.0,255.0,255.0
8,0.4,1.4559455119834572e-29,5.37056947965942e-123,-0.11526165040251213,-1.011701268031985e-28,-3.731878636875146e-122,-0.4486180907589443,-3.149273444399e-27,-1.161677528752418e-120,-0.762696054239283,0.0,70.0,255.0,255.0,255.0
9,0.45,5.27893287341827e-30,1.9472484060566335e-123,-0.1386459083369359,-2.6428576141438854e-28,-9.748751120686124e-122,-0.48637656334570956,-2.786417458881382e-27,-1.0278302614410299e-120,-0.7476705349903212,0.0,70.0,255.0,255.0,255.0
10,0.5,-1.1869121021604281e-29,-4.378181641026705e-123,-0.16389930673708308,-3.7981187269133674e-28,-1.4010181251285445e-121,-0.5233851442579764,-8.726629932074754e-28,-3.2190059303548674e-121,-0.7326970006972877,0.0,70.0,255.0,255.0,255.0
11,0.55,-3.2702254395715404e-29,-1.2062932845228812e-122,-0.19098442276273356,-3.515520607351361e-28,-1.2967757051040991e-121,-0.5596462634154383,2.7841566739248907e-27,1.026996322080836e-120,-0.7177764192066893,0.0,70.0,255.0,255.0,255.0
12,0.6000000000000001,-4.702432709511789e-29,-1.7345938692067697e-122,-0.21986393307862692,-1.0139620529884767e-28,-3.740218030477086e-122,-0.5951627861786454,7.055909849224182e-27,2.6027247431703513e-120,-0.7029303567363088,0.0,70.0,255.0,255.0,255.0
13,0.65,-4.284187492560017e-29,-1.5803150875705898e-122,-0.2505007013805981,3.540389241872822e-28,1.3059490380662526e-121,-0.6299392990890692,1.0045797954190208e-26,3.7056095470289806e-120,-0.688187696929119,0.0,70.0,255.0,255.0,255.0
14,0.7000000000000001,-1.1620434676389667e-29,-4.286448311405171e-123,-0.28285786298753385,9.03183590120173e-28,3.331587743981272e-121,-0.6639815558715573,9.753026302323964e-27,3.597614399883652e-120,-0.6735636034368198,0.0,70.0,255.0,255.0,255.0
15,0.75,4.747648408641713e-29,1.751272656410682e-122,-0.31689885696775383,1.3293415544196787e-27,4.903563437949905e-121,-0.6972956594327512,3.4906519728299e-27,1.2876023721419464e-120,-0.659063931942766,0.0,70.0,255.0,255.0,255.0
16,0.8,1.213137207655782e-28,4.4749186068093887e-122,-0.35258742893080897,1.252248787403163e-27,4.619190116123218e-121,-0.7298879490658339,-9.743983162497991e-27,-3.5942786424428756e-120,-0.6446832650898349,0.0,70.0,255.0,255.0,255.0
