Time [msec],x [m],y [m],z [m],Red,Green,Blue
0,0,0,0,255,255,255
250,0,0,0.0535,255,255,255
500,0,0,0.1524,255,255,255
750,0,0,0.294,255,255,255
1000,0,0,0.476,255,255,255
1250,0,0,0.6957,255,255,255
1500,0,0,0.9506,255,255,255
1750,0,0,1.2382,255,255,255
2000,0,0,1.556,255,255,255
2250,0,0,1.8977,255,255,255
2500,0,0,2.2553,255,255,255
2750,0,0,2.6236,255,255,255
3000,0,0,2.9974,255,255,255
3250,0,0,3.3713,255,255,255
3500,0,0,3.7402,255,255,255
3750,0,0,4.0989,255,255,255
4000,0,0,4.442,255,255,255
4250,0,0,4.7644,255,255,255
4500,0,0,5.0608,255,255,255
4750,0,0,5.3259,255,255,255
5000,0,0,5.5546,255,255,255
5250,0,0,5.7416,255,255,255
5500,0,0,5.8817,255,255,255
5750,0,0,5.9695,255,255,255
6000,0,0,6,255,255,255
6250,0,0,6,255,255,255
6500,0,0,6,255,255,255
6750,0,0,6,255,255,255
7000,0,0,6,255,255,255
7250,0,0,6,255,255,255
7500,0,0,6,255,255,255
7750,0,0,6,255,255,255
8000,0,0,6,255,255,255
8250,0,0,6,255,255,255
8500,0,0,6,255,255,255
8750,-0.0001,0.001,6,255,255,255
9000,-0.0005,0.0042,6,255,255,255
9250,-0.0011,0.0093,6,255,255,255
9500,-0.002,0.0165,6,255,255,255
9750,-0.0031,0.0256,6,255,255,255
10000,-0.0045,0.0366,6,255,255,255
10250,-0.0062,0.0495,6,255,255,255
10500,-0.0082,0.0643,6,255,255,255
10750,-0.0105,0.0808,6,255,255,255
11000,-0.0131,0.0992,6,255,255,255
11250,-0.0161,0.1192,6,255,255,255
11500,-0.0193,0.141,6,255,255,255
11750,-0.0229,0.1644,6,255,255,255
12000,-0.0268,0.1895,6,255,255,255
12250,-0.0311,0.2161,6,255,255,255
12500,-0.0357,0.2443,6,255,255,255
12750,-0.0407,0.274,6,255,255,255
13000,-0.0461,0.3051,6,255,255,255
13250,-0.0518,0.3377,6,255,255,255
13500,-0.058,0.3718,6,255,255,255
13750,-0.0645,0.4071,6,255,255,255
14000,-0.0715,0.4438,6,255,255,255
14250,-0.0788,0.4818,6,255,255,255
14500,-0.0866,0.521,6,255,255,255
14750,-0.0948,0.5614,6,255,255,255
15000,-0.1035,0.6031,6,255,255,255
15250,-0.1126,0.6458,6,255,255,255
15500,-0.1221,0.6897,6,255,255,255
15750,-0.1321,0.7346,6,255,255,255
16000,-0.1426,0.7805,6,255,255,255
16250,-0.1536,0.8275,6,255,255,255
16500,-0.165,0.8753,6,255,255,255
16750,-0.177,0.9241,6,255,255,255
17000,-0.1894,0.9738,6,255,255,255
17250,-0.2024,1.0243,6,255,255,255
17500,-0.2159,1.0756,6,255,255,255
17750,-0.2299,1.1277,6,255,255,255
18000,-0.2444,1.1805,6,255,255,255
18250,-0.2595,1.234,6,255,255,255
18500,-0.2752,1.2882,6,255,255,255
18750,-0.2914,1.343,6,255,255,255
19000,-0.3081,1.3983,6,255,255,255
19250,-0.3255,1.4542,6,255,255,255
19500,-0.3434,1.5106,6,255,255,255
19750,-0.3619,1.5675,6,255,255,255
20000,-0.3811,1.6247,6,255,255,255
20250,-0.4008,1.6824,6,255,255,255
20500,-0.4212,1.7405,6,255,255,255
20750,-0.4421,1.7988,6,255,255,255
21000,-0.4637,1.8575,6,255,255,255
21250,-0.486,1.9164,6,255,255,255
21500,-0.5089,1.9754,6,255,255,255
21750,-0.5324,2.0347,6,255,255,255
22000,-0.5567,2.0941,6,255,255,255
22250,-0.5816,2.1536,6,255,255,255
22500,-0.6071,2.2131,6,255,255,255
22750,-0.6334,2.2727,6,255,255,255
23000,-0.6604,2.3322,6,255,255,255
23250,-0.688,2.3917,6,255,255,255
23500,-0.7164,2.4511,6,255,255,255
23750,-0.7455,2.5104,6,255,255,255
24000,-0.7754,2.5695,6,255,255,255
24250,-0.8059,2.6283,6,255,255,255
24500,-0.8373,2.687,6,255,255,255
24750,-0.8693,2.7454,6,255,255,255
25000,-0.9022,2.8034,6,255,255,255
25250,-0.9358,2.8611,6,255,255,255
25500,-0.9702,2.9185,6,255,255,255
25750,-1.0053,2.9753,6,255,255,255
26000,-1.0413,3.0318,6,255,255,255
26250,-1.0781,3.0877,6,255,255,255
26500,-1.1157,3.1431,6,255,255,255
26750,-1.1541,3.1979,6,255,255,255
27000,-1.1933,3.2521,6,255,255,255
27250,-1.2334,3.3056,6,255,255,255
27500,-1.2743,3.3585,6,255,255,255
27750,-1.3161,3.4106,6,255,255,255
28000,-1.3587,3.4619,6,255,255,255
28250,-1.4022,3.5125,6,255,255,255
28500,-1.4466,3.5622,6,255,255,255
28750,-1.4918,3.6111,6,255,255,255
29000,-1.538,3.659,6,255,255,255
29250,-1.585,3.706,6,255,255,255
29500,-1.633,3.752,6,255,255,255
29750,-1.6819,3.7971,6,255,255,255
30000,-1.7316,3.8413,6,255,255,255
30250,-1.7822,3.8846,6,255,255,255
30500,-1.8336,3.9269,6,255,255,255
30750,-1.8858,3.9684,6,255,255,255
31000,-1.9387,4.009,6,255,255,255
31250,-1.9923,4.0487,6,255,255,255
31500,-2.0466,4.0875,6,255,255,255
31750,-2.1015,4.1255,6,255,255,255
32000,-2.157,4.1626,6,255,255,255
32250,-2.213,4.1989,6,255,255,255
32500,-2.2695,4.2343,6,255,255,255
32750,-2.3265,4.2689,6,255,255,255
33000,-2.384,4.3027,6,255,255,255
33250,-2.4418,4.3358,6,255,255,255
33500,-2.5001,4.368,6,255,255,255
33750,-2.5586,4.3994,6,255,255,255
34000,-2.6174,4.4301,6,255,255,255
34250,-2.6765,4.4599,6,255,255,255
34500,-2.7358,4.4891,6,255,255,255
34750,-2.7953,4.5175,6,255,255,255
35000,-2.8549,4.5451,6,255,255,255
35250,-2.9147,4.572,6,255,255,255
35500,-2.9745,4.5982,6,255,255,255
35750,-3.0343,4.6237,6,255,255,255
36000,-3.0942,4.6485,6,255,255,255
36250,-3.154,4.6725,6,255,255,255
36500,-3.2137,4.6959,6,255,255,255
36750,-3.2733,4.7187,6,255,255,255
37000,-3.3328,4.7407,6,255,255,255
37250,-3.392,4.7621,6,255,255,255
37500,-3.4511,4.7829,6,255,255,255
37750,-3.5099,4.803,6,255,255,255
38000,-3.5684,4.8225,6,255,255,255
38250,-3.6265,4.8413,6,255,255,255
38500,-3.6843,4.8596,6,255,255,255
38750,-3.7417,4.8773,6,255,255,255
39000,-3.7986,4.8943,6,255,255,255
39250,-3.8551,4.9108,6,255,255,255
39500,-3.911,4.9267,6,255,255,255
39750,-3.9664,4.942,6,255,255,255
40000,-4.0212,4.9568,6,255,255,255
40250,-4.0754,4.9711,6,255,255,255
40500,-4.1289,4.9848,6,255,255,255
40750,-4.1817,4.9979,6,255,255,255
41000,-4.2338,5.0106,6,255,255,255
41250,-4.2851,5.0227,6,255,255,255
41500,-4.3356,5.0344,6,255,255,255
41750,-4.3852,5.0455,6,255,255,255
42000,-4.4339,5.0562,6,255,255,255
42250,-4.4818,5.0664,6,255,255,255
42500,-4.5286,5.0761,6,255,255,255
42750,-4.5745,5.0854,6,255,255,255
43000,-4.6194,5.0942,6,255,255,255
43250,-4.6631,5.1026,6,255,255,255
43500,-4.7058,5.1106,6,255,255,255
43750,-4.7473,5.1181,6,255,255,255
44000,-4.7877,5.1253,6,255,255,255
44250,-4.8268,5.132,6,255,255,255
44500,-4.8647,5.1384,6,255,255,255
44750,-4.9013,5.1444,6,255,255,255
45000,-4.9366,5.15,6,255,255,255
45250,-4.9705,5.1552,6,255,255,255
45500,-5.003,5.1601,6,255,255,255
45750,-5.0341,5.1646,6,255,255,255
46000,-5.0637,5.1688,6,255,255,255
46250,-5.0917,5.1727,6,255,255,255
46500,-5.1183,5.1763,6,255,255,255
46750,-5.1432,5.1795,6,255,255,255
47000,-5.1666,5.1825,6,255,255,255
47250,-5.1883,5.1851,6,255,255,255
