Time [msec],x [m],y [m],z [m],Red,Green,Blue
0,-10.5,0,0,255,255,255
250,-10.5,0,0.039,255,255,255
500,-10.5,0,0.1133,255,255,255
750,-10.5,0,0.2219,255,255,255
1000,-10.5,0,0.364,255,255,255
1250,-10.5,0,0.5385,255,255,255
1500,-10.5,0,0.7445,255,255,255
1750,-10.5,0,0.981,255,255,255
2000,-10.5,0,1.2471,255,255,255
2250,-10.5,0,1.5418,255,255,255
2500,-10.5,0,1.8642,255,255,255
2750,-10.5,0,2.2132,255,255,255
3000,-10.5,0,2.588,255,255,255
3250,-10.5,0,2.9876,255,255,255
3500,-10.5,0,3.411,255,255,255
3750,-10.5,0,3.8558,255,255,255
4000,-10.5,0,4.3192,255,255,255
4250,-10.5,0,4.7996,255,255,255
4500,-10.5,0,5.2953,255,255,255
4750,-10.5,0,5.8049,255,255,255
5000,-10.5,0,6.3266,255,255,255
5250,-10.5,0,6.859,255,255,255
5500,-10.5,0,7.4004,255,255,255
5750,-10.5,0,7.9492,255,255,255
6000,-10.5,0,8.5039,255,255,255
6250,-10.5,0,9.0628,255,255,255
6500,-10.5,0,9.6244,255,255,255
6750,-10.5,0,10.1871,255,255,255
7000,-10.5,0,10.7492,255,255,255
7250,-10.5,0,11.3093,255,255,255
7500,-10.5,0,11.8656,255,255,255
7750,-10.5,0,12.4166,255,255,255
8000,-10.5,0,12.9608,255,255,255
8250,-10.5,0,13.4965,255,255,255
8500,-10.5,0,14.0221,255,255,255
8750,-10.5,0,14.536,255,255,255
9000,-10.5,0,15.0368,255,255,255
9250,-10.5,0,15.5226,255,255,255
9500,-10.5,0,15.9921,255,255,255
9750,-10.5,0,16.4435,255,255,255
10000,-10.5,0,16.8754,255,255,255
10250,-10.5,0,17.286,255,255,255
10500,-10.5,0,17.672,255,255,255
10750,-10.5,0,18.0305,255,255,255
11000,-10.5,0,18.361,255,255,255
11250,-10.5,0,18.6629,255,255,255
11500,-10.5,0,18.9357,255,255,255
11750,-10.5,0,19.1787,255,255,255
12000,-10.5,0,19.3915,255,255,255
12250,-10.5,0,19.5734,255,255,255
12500,-10.5,0,19.7238,255,255,255
12750,-10.5,0,19.8423,255,255,255
13000,-10.5,0,19.9282,255,255,255
13250,-10.5,0,19.981,255,255,255
13500,-10.5,0,20,255,255,255
13750,-10.5,0,20,255,255,255
14000,-10.5,0,20,255,255,255
14250,-10.5,0,20,255,255,255
14500,-10.5,0,20,255,255,255
14750,-10.5,0,20,255,255,255
15000,-10.5,0,20,255,255,255
15250,-10.5,0,20,255,255,255
15500,-10.5,0,20,255,255,255
15750,-10.5,0,20,255,255,255
16000,-10.5,0,20,255,255,255
16250,-10.5,0,20,255,255,255
16500,-10.5,0,20,255,255,255
16750,-10.5,0,20,255,255,255
17000,-10.5,0,20,255,255,255
17250,-10.5,0,20,255,255,255
17500,-10.5,0,20,255,255,255
17750,-10.5,0,20,255,255,255
18000,-10.5,0,20,255,255,255
18250,-10.5,0,20,255,255,255
18500,-10.5,0,20,255,255,255
18750,-10.5,0,20,255,255,255
19000,-10.5,0,20,255,255,255
19250,-10.5,0,20,255,255,255
19500,-10.5,0,20,255,255,255
19750,-10.5,0,20,255,255,255
20000,-10.5,0,20,255,255,255
20250,-10.5,0,20,255,255,255
20500,-10.5,0,20,255,255,255
20750,-10.5,0,20,255,255,255
21000,-10.5,0,20,255,255,255
21250,-10.5,0,20,255,255,255
21500,-10.5,0,20,255,255,255
21750,-10.5,0,20,255,255,255
22000,-10.5,0,20,255,255,255
22250,-10.5,0,20,255,255,255
22500,-10.5,0,20,255,255,255
22750,-10.5,0,20,255,255,255
23000,-10.5,0,20,255,255,255
23250,-10.5,0,20,255,255,255
23500,-10.5,0,20,255,255,255
23750,-10.5,0,20,255,255,255
24000,-10.5,0,20,255,255,255
24250,-10.5,0,20,255,255,255
24500,-10.5,0,20,255,255,255
24750,-10.5,0,20,255,255,255
25000,-10.5,0,20,255,255,255
25250,-10.5,0,20,255,255,255
25500,-10.5,0,20,255,255,255
25750,-10.5,0,20,255,255,255
26000,-10.5,0,20,255,255,255
26250,-10.5,0,20,255,255,255
26500,-10.5,0,20,255,255,255
26750,-10.5,0,20,255,255,255
27000,-10.5,0,20,255,255,255
27250,-10.5,0,20,255,255,255
27500,-10.5,0,20,255,255,255
27750,-10.5,0,20,255,255,255
28000,-10.5,0,20,255,255,255
28250,-10.5,0,20,255,255,255
28500,-10.5,0,20,255,255,255
28750,-10.5,0,20,255,255,255
29000,-10.5,0,20,255,255,255
29250,-10.5,0,20,255,255,255
29500,-10.5,0,20,255,255,255
29750,-10.5,0,20,255,255,255
30000,-10.5,0,20,255,255,255
30250,-10.5,0,20,255,255,255
30500,-10.5,0,20,255,255,255
30750,-10.5,0,20,255,255,255
31000,-10.5,0,20,255,255,255
31250,-10.5,0,20,255,255,255
31500,-10.5,0,20,255,255,255
31750,-10.5,0,20,255,255,255
32000,-10.5,0,20,255,255,255
32250,-10.5,0,20,255,255,255
32500,-10.5,0,20,255,255,255
32750,-10.5,0,20,255,255,255
33000,-10.5,0,20,255,255,255
33250,-10.5,0,20,255,255,255
33500,-10.5,0,20,255,255,255
33750,-10.5,0,20,255,255,255
34000,-10.5,0,20,255,255,255
34250,-10.5,0,20,255,255,255
34500,-10.5,0,20,255,255,255
34750,-10.5,0,20,255,255,255
35000,-10.5,0,20,255,255,255
35250,-10.5,0,20,255,255,255
35500,-10.5,0,20,255,255,255
35750,-10.5,0,20,255,255,255
36000,-10.5,0,20,255,255,255
36250,-10.5,0,20,255,255,255
36500,-10.5,0,20,255,255,255
36750,-10.5,0,20,255,255,255
37000,-10.5,0,20,255,255,255
37250,-10.5,0,20,255,255,255
37500,-10.5,0,20,255,255,255
37750,-10.5,0,20,255,255,255
38000,-10.5,0,20,255,255,255
38250,-10.5,0,20,255,255,255
38500,-10.5,0,20,255,255,255
38750,-10.5,0,20,255,255,255
39000,-10.5,0,20,255,255,255
39250,-10.5,0,20,255,255,255
39500,-10.5,0,20,255,255,255
39750,-10.5,0,20,255,255,255
40000,-10.5,0,20,255,255,255
40250,-10.4903,0.0042,20,255,255,255
40500,-10.4713,0.0129,20,255,255,255
40750,-10.4432,0.0259,20,255,255,255
41000,-10.4064,0.0431,20,255,255,255
41250,-10.361,0.0644,20,255,255,255
41500,-10.3073,0.0896,20,255,255,255
41750,-10.2454,0.1187,20,255,255,255
42000,-10.1758,0.1515,20,255,255,255
42250,-10.0985,0.188,20,255,255,255
42500,-10.0138,0.228,20,255,255,255
42750,-9.922,0.2714,20,255,255,255
43000,-9.8234,0.318,20,255,255,255
